tag,step,value
val_RMSE/diurnal_sin,49031,0.46672
val_RMSE/diurnal_sin,49485,0.0682869
val_RMSE/diurnal_sin,49939,0.0663889
val_RMSE/diurnal_sin,50393,0.06167
val_RMSE/diurnal_sin,50847,0.0602155
val_RMSE/diurnal_sin,51301,0.075374
val_RMSE/diurnal_sin,51755,0.307063
val_RMSE/diurnal_sin,52209,0.55327
val_RMSE/diurnal_sin,52663,0.665413
val_RMSE/diurnal_sin,53117,0.111546
val_RMSE/diurnal_sin,53571,0.241138
val_RMSE/diurnal_sin,54025,0.652262
val_RMSE/diurnal_sin,54479,0.780613
val_RMSE/diurnal_sin,54933,0.844733
val_RMSE/diurnal_sin,55387,0.0603702
val_RMSE/diurnal_sin,55841,0.173835
val_RMSE/diurnal_sin,56295,0.157309
val_RMSE/diurnal_sin,56749,0.0728222
val_RMSE/diurnal_sin,57203,0.0708822
val_RMSE/diurnal_sin,57657,0.140577
val_RMSE/diurnal_sin,58111,0.332269
val_RMSE/diurnal_sin,58565,0.0954237
val_RMSE/diurnal_sin,59019,0.107001
val_RMSE/diurnal_sin,59473,0.119082
val_RMSE/diurnal_sin,59927,1.28878
val_RMSE/diurnal_sin,60381,0.179534
val_RMSE/diurnal_sin,60835,0.123773
val_RMSE/diurnal_sin,61289,0.0653447
val_RMSE/diurnal_sin,61743,0.0520107
val_RMSE/diurnal_sin,62197,4.04117
val_RMSE/diurnal_sin,62651,0.126641
val_RMSE/diurnal_sin,63105,0.0618562
val_RMSE/diurnal_sin,63559,0.0532612
val_RMSE/diurnal_sin,64013,0.188076
val_RMSE/diurnal_sin,64467,0.659539
val_RMSE/diurnal_sin,64921,0.681418
val_RMSE/diurnal_sin,65375,0.139915
val_RMSE/diurnal_sin,65829,0.0541757
val_RMSE/diurnal_sin,66283,0.161727
val_RMSE/diurnal_sin,66737,0.0553693
val_RMSE/diurnal_sin,67191,0.0674018
val_RMSE/diurnal_sin,67645,0.0495527
val_RMSE/diurnal_sin,68099,0.158381
val_RMSE/diurnal_sin,68553,0.088819
val_RMSE/diurnal_sin,69007,0.0935287
val_RMSE/diurnal_sin,69461,0.102771
val_RMSE/diurnal_sin,69915,0.087986
val_RMSE/diurnal_sin,70369,0.109104
val_RMSE/diurnal_sin,70823,0.284832
val_RMSE/diurnal_sin,71277,0.0653074
val_RMSE/diurnal_sin,71731,0.0431504
val_RMSE/diurnal_sin,72185,0.252044
val_RMSE/diurnal_sin,72639,0.0708381
val_RMSE/diurnal_sin,73093,0.0422738
val_RMSE/diurnal_sin,73547,0.0793576
val_RMSE/diurnal_sin,74001,1.31214
